parameter,output,metric,nominal_value,base_metric,perturbed_metric,relative_sensitivity
hm_e2_fsh_scale,P4,AUC,0.396,55.24403546337959,55.205390071156536,-0.0699539631724956
hepatic_glucose_release,Glucose,AUC,0.0684,42.87980691299765,42.9097799826568,0.06990019735854781
cl_formation_scale,E2,AUC,0.4,16.842271088140375,16.83062757726768,-0.06913266513619731
liver_usage_rate,Glucose,AUC,5.0,42.87980691299765,42.85034274592206,-0.06871338561614847
hp_e2_oxt_scale,Follicle,AUC,1.59,19.277313178356533,19.2642749466999,-0.06763510835769321
follicle_to_e2_scale,IGF1,AUC,2.19,29.40509795337114,29.424970830558493,0.06758310147059036
hp_gnrh_lh_scale,Follicle,AUC,2.22,19.277313178356533,19.26433954438704,-0.06730001141474871
insulin_lh_threshold,IGF1,AUC,16.0,29.40509795337114,29.424886319001857,0.06729569703218187
glucagon_glucose_threshold,Glucose,AUC,0.5,42.87980691299765,42.908583673245545,0.06711028411644014
follicle_to_inhibin_scale,CL,AUC,1.41,44.47711481761466,44.44801576584156,-0.06542477382453198
fsh_clearance,CL,AUC,2.73,44.47711481761466,44.448060521673035,-0.06532414717269495
insulin_igf_threshold,CL,AUC,15.0,44.47711481761466,44.44829177888961,-0.06480420063946171
insulin_secretion_max,CL,AUC,84211.0,44.47711481761466,44.448550943540425,-0.06422150850244608
igf_basal_release,P4,AUC,0.4,55.24403546337959,55.279465491493596,0.06413367129469205
hp_p4_follicle_scale,IGF1,AUC,1.1,29.40509795337114,29.386496052099858,-0.06326080362248651
cl_formation_scale,Follicle,AUC,0.4,19.277313178356533,19.265119675263875,-0.06325312547366498
hp_e2_oxt_threshold,IGF1,AUC,0.143,29.40509795337114,29.386795713423297,-0.06224172412846846
fsh_basal_release,Follicle,AUC,0.948,19.277313178356533,19.265335835402695,-0.06213180666320841
p4_clearance,E2,AUC,1.41,16.842271088140375,16.831811676153194,-0.062102147224944844
insulin_igf_threshold,Follicle,AUC,15.0,19.277313178356533,19.28913658446557,0.061333267762191536
hp_e2_oxt_threshold,Follicle,AUC,0.143,19.277313178356533,19.28800466026556,0.05546147333971617
hp_cl_self_scale,Follicle,AUC,0.0335,19.277313178356533,19.266632218216426,-0.05540689224315113
p4_baseline,Follicle,AUC,0.1,19.277313178356533,19.287745334989363,0.05411623775736317
insulin_clearance,IGF1,AUC,2105.0,29.40509795337114,29.38925077436354,-0.05389262444468032
insulin_secretion_max,IGF1,AUC,84211.0,29.40509795337114,29.420718431772826,0.053121667632110875
p4_baseline,IGF1,AUC,0.1,29.40509795337114,29.420516480899146,0.05243487898749883
hp_iof_threshold,P4,AUC,1.82,55.24403546337959,55.27261927117465,0.05174098444348152
hm_p4_lh_scale,P4,AUC,2.71,55.24403546337959,55.27251924548844,0.05155992293092278
oxt_clearance,E2,AUC,0.644,16.842271088140375,16.850906774013172,0.05127388003437148
hp_fsh_follicle_threshold,Follicle,AUC,1.497,19.277313178356533,19.267492684885884,-0.05094326880405002
e2_clearance,CL,AUC,1.23,44.47711481761466,44.45485326970598,-0.05005169062780041
insulin_fsh_scale,Follicle,AUC,3.0,19.277313178356533,19.286953781212187,0.050010096150112336
fsh_syn_scale,Follicle,AUC,4.21,19.277313178356533,19.286953781211253,0.05001009614526538
blood_to_liver_max,P4,AUC,50.0,55.24403546337959,55.21660798641626,-0.049647851995738984
iof_clearance,IGF1,AUC,0.298,29.40509795337114,29.390729202942225,-0.04886482762852834
insulin_fsh_threshold,Follicle,AUC,15.0,19.277313178356533,19.268034187706228,-0.04813425275843389
hp_pg_iof_scale,P4,AUC,39.68,55.24403546337959,55.217629512013445,-0.04779873726575921
hp_e2_lh_threshold,P4,AUC,0.243,55.24403546337959,55.21790954638983,-0.04729183299267502
hp_cl_self_threshold,P4,AUC,0.2807,55.24403546337959,55.21799748511302,-0.0471326506982504
igf_lh_sensitivity_threshold,IGF1,AUC,0.5,29.40509795337114,29.41883287710597,0.04670932828249831
gnrh_clearance,P4,AUC,1.63,55.24403546337959,55.26939309339581,0.045901118199507505
insulin_fsh_threshold,P4,AUC,15.0,55.24403546337959,55.2692567375546,0.04565429365081187
gnrh_clearance,E2,AUC,1.63,16.842271088140375,16.84988428590343,0.04520291665661428
igf_lh_sensitivity_scale,IGF1,AUC,1.0,29.40509795337114,29.418354184310417,0.045081403776643394
oxt_clearance,IGF1,AUC,0.644,29.40509795337114,29.391985082465034,-0.04459386915459192
insulin_secretion_max,Glucose,AUC,84211.0,42.87980691299765,42.86097810100955,-0.04391067344660422
insulin_clearance,Glucose,AUC,2105.0,42.87980691299765,42.89858831577249,0.043800110417821524
hm_e2_fsh_scale,CL,AUC,0.396,44.47711481761466,44.49644407760548,0.04345888907156336
blood_to_liver_max,Glucose,AUC,50.0,42.87980691299765,42.86139779038939,-0.04293191582138701
insulin_lh_scale,IGF1,AUC,1.05,29.40509795337114,29.393012232526303,-0.04110076716629842
feed_direct_blood_fraction,Insulin,AUC,0.08,1374.0650467631717,1374.6271663888822,0.04090924421916034
hp_lh_follicle_scale,IGF1,AUC,3.49,29.40509795337114,29.393300017801398,-0.04012207539131699
e2_clearance,IGF1,AUC,1.23,29.40509795337114,29.39336977025223,-0.039884863289712816
hp_p4_follicle_scale,CL,AUC,1.1,44.47711481761466,44.49429179152359,0.03861980251947796
oxt_clearance,Follicle,AUC,0.644,19.277313178356533,19.284709022729427,0.038365535199156905
p4_baseline,E2,AUC,0.1,16.842271088140375,16.835823648657836,-0.03828129501536711
lh_clearance,IGF1,AUC,2.0,29.40509795337114,29.41632527526427,0.03818154903253277
blood_usage_max,IGF1,AUC,1000.0,29.40509795337114,29.394169485978853,-0.03716521335727632
hp_p4_fsh_scale,CL,AUC,0.293,44.47711481761466,44.49354905964323,0.036949883318550515
hp_cl_self_threshold,CL,AUC,0.2807,44.47711481761466,44.46074845697923,-0.03679726237311778
insulin_igf_threshold,P4,AUC,15.0,55.24403546337959,55.22379975152907,-0.036629677178329205
hp_gnrh_lh_scale,CL,AUC,2.22,44.47711481761466,44.49325293038817,0.036284081914217954
oxt_clearance,CL,AUC,0.644,44.47711481761466,44.46219434189583,-0.033546410957669394
hp_iof_threshold,CL,AUC,1.82,44.47711481761466,44.49198723932518,0.0334383688589081
blood_to_liver_glucose_threshold,CL,AUC,0.45,44.47711481761466,44.4622630909232,-0.033391839269167466
hp_cl_iof_threshold,P4,AUC,0.6,55.24403546337959,55.26228117271209,0.03302747378872952
glucagon_clearance,IGF1,AUC,350.87,29.40509795337114,29.395412345915357,-0.03293853151294239
glucagon_secretion_max,IGF1,AUC,70182.0,29.40509795337114,29.41469106936336,0.0326239892396655
hp_p4_fsh_scale,P4,AUC,0.293,55.24403546337959,55.226087800547006,-0.03248796486723024
hp_gnrh_lh_scale,P4,AUC,2.22,55.24403546337959,55.2263286421048,-0.032052005481261754
hepatic_glucose_release,IGF1,AUC,0.0684,29.40509795337114,29.41447875841842,0.03190196836669039
hp_e2_oxt_threshold,CL,AUC,0.143,44.47711481761466,44.463016831481795,-0.03169716873650275
liver_usage_rate,IGF1,AUC,5.0,29.40509795337114,29.395879685337462,-0.03134921722857523
glucagon_glucose_threshold,IGF1,AUC,0.5,29.40509795337114,29.41418678655281,0.030909038956727676
