candidate,columns,n_columns,n_samples,mi_nats
Glucagon_day_68,Glucagon_day_68,1,7874,0.020388761599122063
Glucagon_day_66,Glucagon_day_66,1,7874,0.020388761599122063
Glucagon_day_88,Glucagon_day_88,1,7874,0.020388761599122063
Glucagon_day_67,Glucagon_day_67,1,7874,0.020388761599122063
Glucagon_day_65,Glucagon_day_65,1,7874,0.020388761599122063
Glucagon_day_64,Glucagon_day_64,1,7874,0.020388761599122063
Glucagon_day_63,Glucagon_day_63,1,7874,0.020388761599122063
Glucagon_day_62,Glucagon_day_62,1,7874,0.020388761599122063
Glucagon_day_61,Glucagon_day_61,1,7874,0.020388761599122063
Glucagon_day_89,Glucagon_day_89,1,7874,0.020388761599122063
Glucagon_day_57,Glucagon_day_57,1,7874,0.020388761599122063
Glucagon_day_60,Glucagon_day_60,1,7874,0.020388761599122063
Glucagon_day_59,Glucagon_day_59,1,7874,0.020388761599122063
Glucagon_day_58,Glucagon_day_58,1,7874,0.020388761599122063
Glucagon_day_72,Glucagon_day_72,1,7874,0.020388761599122063
Glucagon_day_74,Glucagon_day_74,1,7874,0.020388761599122063
Glucagon_day_87,Glucagon_day_87,1,7874,0.020388761599122063
Glucagon_day_78,Glucagon_day_78,1,7874,0.020388761599122063
Glucagon_day_55,Glucagon_day_55,1,7874,0.020388761599122063
Glucagon_day_82,Glucagon_day_82,1,7874,0.020388761599122063
Glucagon_day_81,Glucagon_day_81,1,7874,0.020388761599122063
Glucagon_day_84,Glucagon_day_84,1,7874,0.020388761599122063
Glucagon_day_80,Glucagon_day_80,1,7874,0.020388761599122063
Glucagon_day_79,Glucagon_day_79,1,7874,0.020388761599122063
Glucagon_day_73,Glucagon_day_73,1,7874,0.020388761599122063
Glucagon_day_85,Glucagon_day_85,1,7874,0.020388761599122063
Glucagon_day_90,Glucagon_day_90,1,7874,0.020388761599122063
Glucagon_day_77,Glucagon_day_77,1,7874,0.020388761599122063
Glucagon_day_83,Glucagon_day_83,1,7874,0.020388761599122063
Glucagon_day_75,Glucagon_day_75,1,7874,0.020388761599122063
Glucagon_day_86,Glucagon_day_86,1,7874,0.020388761599122063
Glucagon_day_76,Glucagon_day_76,1,7874,0.020388761599122063
IGF1_day_77,IGF1_day_77,1,7874,0.016856498970192035
IGF1_day_78,IGF1_day_78,1,7874,0.011454364227363456
PGF_day_56,PGF_day_56,1,7874,0.006201524321189922
IGF1_day_56,IGF1_day_56,1,7874,0.005875407539454258
PGF_day_57,PGF_day_57,1,7874,0.004754938617255178
IGF1_day_79,IGF1_day_79,1,7874,0.003303762477848693
PGF_day_55,PGF_day_55,1,7874,0.002472767959236677
IGF1_day_55,IGF1_day_55,1,7874,0.0015766517452089346
IGF1_day_80,IGF1_day_80,1,7874,0.0
IGF1_day_81,IGF1_day_81,1,7874,0.0
IGF1_day_57,IGF1_day_57,1,7874,0.0
IGF1_day_59,IGF1_day_59,1,7874,0.0
IGF1_day_58,IGF1_day_58,1,7874,0.0
